MunCode,Localidad,Date,Cases,Deaths
11001,1,2020-02-26,1,0
11001,1,2020-03-01,1,0
11001,1,2020-03-04,1,0
11001,1,2020-03-05,1,0
11001,1,2020-03-07,3,0
11001,1,2020-03-09,2,0
11001,1,2020-03-10,3,0
11001,1,2020-03-11,1,0
11001,1,2020-03-12,7,0
11001,1,2020-03-13,3,0
11001,1,2020-03-14,6,0
11001,1,2020-03-15,7,0
11001,1,2020-03-16,15,0
11001,1,2020-03-17,11,0
11001,1,2020-03-18,8,0
11001,1,2020-03-19,16,0
11001,1,2020-03-20,10,0
11001,1,2020-03-21,6,0
11001,1,2020-03-22,11,0
11001,1,2020-03-23,6,0
11001,1,2020-03-24,8,0
11001,1,2020-03-25,7,0
11001,1,2020-03-26,7,0
11001,1,2020-03-27,10,0
11001,1,2020-03-28,9,0
11001,1,2020-03-29,4,0
11001,1,2020-03-30,8,1
11001,1,2020-03-31,7,0
11001,1,2020-04-01,11,0
11001,1,2020-04-02,7,0
11001,1,2020-04-03,8,3
11001,1,2020-04-04,4,0
11001,1,2020-04-05,6,1
11001,1,2020-04-06,4,1
11001,1,2020-04-07,3,1
11001,1,2020-04-08,5,0
11001,1,2020-04-09,1,0
11001,1,2020-04-10,4,0
11001,1,2020-04-11,8,0
11001,1,2020-04-12,9,0
11001,1,2020-04-14,4,1
11001,1,2020-04-15,2,0
11001,1,2020-04-16,1,0
11001,1,2020-04-17,3,0
11001,1,2020-04-18,4,0
11001,1,2020-04-19,2,0
11001,1,2020-04-20,2,1
11001,1,2020-04-21,2,1
11001,1,2020-04-22,1,0
11001,1,2020-04-23,6,0
11001,1,2020-04-24,5,0
11001,1,2020-04-25,1,0
11001,1,2020-04-26,4,0
11001,1,2020-04-27,5,0
11001,1,2020-04-28,3,0
11001,1,2020-04-29,3,0
11001,1,2020-04-30,4,0
11001,1,2020-05-01,4,0
11001,1,2020-05-02,4,0
11001,1,2020-05-03,2,0
11001,1,2020-05-04,4,0
11001,1,2020-05-05,6,0
11001,1,2020-05-06,14,0
11001,1,2020-05-07,1,0
11001,1,2020-05-08,6,0
11001,1,2020-05-09,4,0
11001,1,2020-05-10,16,0
11001,1,2020-05-11,10,0
11001,1,2020-05-12,7,0
11001,1,2020-05-13,11,0
11001,1,2020-05-14,6,0
11001,1,2020-05-15,13,0
11001,1,2020-05-16,10,0
11001,1,2020-05-17,8,0
11001,1,2020-05-18,17,0
11001,1,2020-05-19,15,0
11001,1,2020-05-20,6,0
11001,1,2020-05-21,13,0
11001,1,2020-05-22,10,0
11001,1,2020-05-23,41,0
11001,1,2020-05-24,6,0
11001,1,2020-05-25,14,0
11001,1,2020-05-26,12,0
11001,1,2020-05-27,11,0
11001,1,2020-05-28,17,0
11001,1,2020-05-29,14,0
11001,1,2020-05-30,6,0
11001,1,2020-05-31,12,0
11001,1,2020-06-01,29,0
11001,1,2020-06-02,29,0
11001,1,2020-06-03,22,0
11001,1,2020-06-04,19,0
11001,1,2020-06-05,22,0
11001,1,2020-06-06,24,0
11001,1,2020-06-07,17,1
11001,1,2020-06-08,30,1
11001,1,2020-06-09,26,2
11001,1,2020-06-10,21,1
11001,1,2020-06-11,28,0
11001,1,2020-06-12,35,0
11001,1,2020-06-13,27,0
11001,1,2020-06-14,28,1
11001,1,2020-06-15,31,0
11001,1,2020-06-16,54,0
11001,1,2020-06-17,68,0
11001,1,2020-06-18,45,0
11001,1,2020-06-19,48,0
11001,1,2020-06-20,74,0
11001,1,2020-06-21,58,0
11001,1,2020-06-22,37,0
11001,1,2020-06-23,59,0
11001,1,2020-06-24,74,1
11001,1,2020-06-25,76,0
11001,1,2020-06-26,101,3
11001,1,2020-06-27,72,1
11001,1,2020-06-28,69,4
11001,1,2020-06-29,118,0
11001,1,2020-06-30,106,1
11001,1,2020-07-01,170,2
11001,1,2020-07-02,151,3
11001,1,2020-07-03,142,5
11001,1,2020-07-04,143,1
11001,1,2020-07-05,117,1
11001,1,2020-07-06,161,1
11001,1,2020-07-07,125,1
11001,1,2020-07-08,162,1
11001,1,2020-07-09,146,4
11001,1,2020-07-10,190,4
11001,1,2020-07-11,145,5
11001,1,2020-07-12,169,1
11001,1,2020-07-13,193,2
11001,1,2020-07-14,176,0
11001,1,2020-07-15,150,10
11001,1,2020-07-16,175,6
11001,1,2020-07-17,184,4
11001,1,2020-07-18,174,2
11001,1,2020-07-19,184,0
11001,1,2020-07-20,208,7
11001,1,2020-07-21,199,2
11001,1,2020-07-22,208,8
11001,1,2020-07-23,254,9
11001,1,2020-07-24,231,4
11001,1,2020-07-25,223,9
11001,1,2020-07-26,172,3
11001,1,2020-07-27,264,2
11001,1,2020-07-28,240,3
11001,1,2020-07-29,238,3
11001,1,2020-07-30,219,6
11001,1,2020-07-31,221,7
11001,1,2020-08-01,238,4
11001,1,2020-08-02,136,6
11001,1,2020-08-03,239,6
11001,1,2020-08-04,196,5
11001,1,2020-08-05,217,6
11001,1,2020-08-06,200,4
11001,1,2020-08-07,128,5
11001,1,2020-08-08,167,3
11001,1,2020-08-09,141,9
11001,1,2020-08-10,232,4
11001,1,2020-08-11,155,7
11001,1,2020-08-12,147,6
11001,1,2020-08-13,222,4
11001,1,2020-08-14,206,7
11001,1,2020-08-15,159,3
11001,1,2020-08-16,135,1
11001,1,2020-08-17,112,4
11001,1,2020-08-18,152,7
11001,1,2020-08-19,131,4
11001,1,2020-08-20,142,3
11001,1,2020-08-21,127,5
11001,1,2020-08-22,116,5
11001,1,2020-08-23,87,1
11001,1,2020-08-24,144,5
11001,1,2020-08-25,150,5
11001,1,2020-08-26,143,2
11001,1,2020-08-27,95,4
11001,1,2020-08-28,85,4
11001,1,2020-08-29,92,4
11001,1,2020-08-30,64,1
11001,1,2020-08-31,92,3
11001,1,2020-09-01,85,0
11001,1,2020-09-02,54,2
11001,1,2020-09-03,67,5
11001,1,2020-09-04,90,2
11001,1,2020-09-05,62,3
11001,1,2020-09-06,42,2
11001,1,2020-09-07,60,2
11001,1,2020-09-08,39,2
11001,1,2020-09-09,33,4
11001,1,2020-09-10,34,1
11001,1,2020-09-11,31,4
11001,1,2020-09-12,16,2
11001,1,2020-09-13,10,1
11001,1,2020-09-14,4,3
11001,2,2020-03-05,1,0
11001,2,2020-03-06,1,0
11001,2,2020-03-07,2,0
11001,2,2020-03-09,1,0
11001,2,2020-03-10,2,0
11001,2,2020-03-11,5,0
11001,2,2020-03-12,5,0
11001,2,2020-03-13,4,0
11001,2,2020-03-14,5,0
11001,2,2020-03-15,2,0
11001,2,2020-03-16,6,0
11001,2,2020-03-17,6,0
11001,2,2020-03-18,6,0
11001,2,2020-03-19,4,0
11001,2,2020-03-20,6,0
11001,2,2020-03-21,6,0
11001,2,2020-03-22,4,0
11001,2,2020-03-23,1,0
11001,2,2020-03-24,3,0
11001,2,2020-03-25,4,0
11001,2,2020-03-26,3,0
11001,2,2020-03-27,3,0
11001,2,2020-03-28,1,0
11001,2,2020-03-29,3,0
11001,2,2020-03-30,2,0
11001,2,2020-03-31,1,0
11001,2,2020-04-01,1,0
11001,2,2020-04-04,1,0
11001,2,2020-04-05,2,0
11001,2,2020-04-06,2,0
11001,2,2020-04-07,2,0
11001,2,2020-04-08,1,0
11001,2,2020-04-09,2,0
11001,2,2020-04-10,3,0
11001,2,2020-04-11,2,0
11001,2,2020-04-12,1,0
11001,2,2020-04-13,1,0
11001,2,2020-04-14,2,0
11001,2,2020-04-15,2,0
11001,2,2020-04-16,2,0
11001,2,2020-04-17,1,0
11001,2,2020-04-18,4,0
11001,2,2020-04-20,3,0
11001,2,2020-04-23,3,0
11001,2,2020-04-24,2,0
11001,2,2020-04-25,1,0
11001,2,2020-04-26,1,0
11001,2,2020-04-27,1,0
11001,2,2020-04-30,2,0
11001,2,2020-05-01,2,0
11001,2,2020-05-02,1,0
11001,2,2020-05-03,1,0
11001,2,2020-05-04,2,0
11001,2,2020-05-05,1,0
11001,2,2020-05-06,1,0
11001,2,2020-05-08,1,0
11001,2,2020-05-10,4,0
11001,2,2020-05-12,1,0
11001,2,2020-05-13,3,0
11001,2,2020-05-14,3,0
11001,2,2020-05-15,1,0
11001,2,2020-05-16,2,0
11001,2,2020-05-17,3,0
11001,2,2020-05-18,1,0
11001,2,2020-05-19,6,0
11001,2,2020-05-20,4,0
11001,2,2020-05-21,5,0
11001,2,2020-05-22,4,0
11001,2,2020-05-23,5,0
11001,2,2020-05-24,2,0
11001,2,2020-05-25,11,0
11001,2,2020-05-26,8,0
11001,2,2020-05-27,27,0
11001,2,2020-05-28,16,0
11001,2,2020-05-29,10,0
11001,2,2020-05-30,6,0
11001,2,2020-05-31,5,0
11001,2,2020-06-01,12,1
11001,2,2020-06-02,7,0
11001,2,2020-06-03,4,0
11001,2,2020-06-04,10,0
11001,2,2020-06-05,11,0
11001,2,2020-06-06,4,0
11001,2,2020-06-07,9,0
11001,2,2020-06-08,14,1
11001,2,2020-06-09,15,0
11001,2,2020-06-10,17,0
11001,2,2020-06-11,14,0
11001,2,2020-06-12,12,0
11001,2,2020-06-13,12,0
11001,2,2020-06-14,7,0
11001,2,2020-06-15,14,0
11001,2,2020-06-16,16,0
11001,2,2020-06-17,17,0
11001,2,2020-06-18,16,0
11001,2,2020-06-19,10,0
11001,2,2020-06-20,23,0
11001,2,2020-06-21,13,0
11001,2,2020-06-22,24,1
11001,2,2020-06-23,22,1
11001,2,2020-06-24,26,0
11001,2,2020-06-25,26,1
11001,2,2020-06-26,31,0
11001,2,2020-06-27,32,0
11001,2,2020-06-28,30,0
11001,2,2020-06-29,24,0
11001,2,2020-06-30,36,0
11001,2,2020-07-01,45,1
11001,2,2020-07-02,45,0
11001,2,2020-07-03,44,0
11001,2,2020-07-04,35,2
11001,2,2020-07-05,42,0
11001,2,2020-07-06,48,0
11001,2,2020-07-07,35,2
11001,2,2020-07-08,54,0
11001,2,2020-07-09,49,2
11001,2,2020-07-10,81,2
11001,2,2020-07-11,60,2
11001,2,2020-07-12,52,0
11001,2,2020-07-13,174,3
11001,2,2020-07-14,116,2
11001,2,2020-07-15,91,0
11001,2,2020-07-16,92,2
11001,2,2020-07-17,98,0
11001,2,2020-07-18,90,2
11001,2,2020-07-19,122,3
11001,2,2020-07-20,57,2
11001,2,2020-07-21,82,0
11001,2,2020-07-22,91,1
11001,2,2020-07-23,71,4
11001,2,2020-07-24,75,2
11001,2,2020-07-25,72,2
11001,2,2020-07-26,42,2
11001,2,2020-07-27,64,1
11001,2,2020-07-28,79,0
11001,2,2020-07-29,76,3
11001,2,2020-07-30,61,0
11001,2,2020-07-31,70,5
11001,2,2020-08-01,69,3
11001,2,2020-08-02,43,3
11001,2,2020-08-03,65,0
11001,2,2020-08-04,51,2
11001,2,2020-08-05,59,2
11001,2,2020-08-06,63,2
11001,2,2020-08-07,50,2
11001,2,2020-08-08,58,5
11001,2,2020-08-09,42,2
11001,2,2020-08-10,43,1
11001,2,2020-08-11,41,1
11001,2,2020-08-12,39,1
11001,2,2020-08-13,66,1
11001,2,2020-08-14,43,0
11001,2,2020-08-15,43,1
11001,2,2020-08-16,25,1
11001,2,2020-08-17,24,2
11001,2,2020-08-18,35,0
11001,2,2020-08-19,33,1
11001,2,2020-08-20,47,2
11001,2,2020-08-21,31,0
11001,2,2020-08-22,42,2
11001,2,2020-08-23,30,1
11001,2,2020-08-24,29,1
11001,2,2020-08-25,38,1
11001,2,2020-08-26,45,3
11001,2,2020-08-27,33,1
11001,2,2020-08-28,17,1
11001,2,2020-08-29,13,0
11001,2,2020-08-30,22,0
11001,2,2020-08-31,32,1
11001,2,2020-09-01,22,3
11001,2,2020-09-02,15,0
11001,2,2020-09-03,20,0
11001,2,2020-09-04,22,0
11001,2,2020-09-05,17,1
11001,2,2020-09-06,14,1
11001,2,2020-09-07,16,0
11001,2,2020-09-08,12,0
11001,2,2020-09-09,10,0
11001,2,2020-09-10,7,0
11001,2,2020-09-11,2,1
11001,2,2020-09-12,2,0
11001,2,2020-09-14,2,1
11001,3,2020-03-10,1,0
11001,3,2020-03-13,1,0
11001,3,2020-03-14,1,0
11001,3,2020-03-15,1,0
11001,3,2020-03-16,2,0
11001,3,2020-03-18,2,0
11001,3,2020-03-29,1,0
11001,3,2020-03-30,1,0
11001,3,2020-03-31,1,0
11001,3,2020-04-01,1,0
11001,3,2020-04-11,3,0
11001,3,2020-04-12,1,0
11001,3,2020-04-14,1,0
11001,3,2020-04-16,2,0
11001,3,2020-04-19,2,0
11001,3,2020-04-20,1,0
11001,3,2020-04-22,1,0
11001,3,2020-04-23,4,0
11001,3,2020-04-24,2,0
11001,3,2020-04-25,3,0
11001,3,2020-04-26,1,0
11001,3,2020-04-27,2,0
11001,3,2020-04-29,2,0
11001,3,2020-05-01,3,0
11001,3,2020-05-02,4,0
11001,3,2020-05-03,3,0
11001,3,2020-05-04,2,0
11001,3,2020-05-05,3,0
11001,3,2020-05-06,3,0
11001,3,2020-05-08,4,1
11001,3,2020-05-09,3,0
11001,3,2020-05-10,5,0
11001,3,2020-05-11,10,0
11001,3,2020-05-12,5,0
11001,3,2020-05-13,4,0
11001,3,2020-05-14,1,0
11001,3,2020-05-15,8,0
11001,3,2020-05-16,4,0
11001,3,2020-05-17,8,0
11001,3,2020-05-18,10,0
11001,3,2020-05-19,13,0
11001,3,2020-05-20,7,0
11001,3,2020-05-21,10,0
11001,3,2020-05-22,3,0
11001,3,2020-05-23,3,0
11001,3,2020-05-24,6,0
11001,3,2020-05-25,6,0
11001,3,2020-05-26,10,0
11001,3,2020-05-27,7,0
11001,3,2020-05-28,4,0
11001,3,2020-05-29,9,1
11001,3,2020-05-30,5,0
11001,3,2020-05-31,15,0
11001,3,2020-06-01,11,0
11001,3,2020-06-02,8,0
11001,3,2020-06-03,5,0
11001,3,2020-06-04,10,0
11001,3,2020-06-05,10,0
11001,3,2020-06-06,12,1
11001,3,2020-06-07,5,1
11001,3,2020-06-08,9,0
11001,3,2020-06-09,11,0
11001,3,2020-06-10,25,0
11001,3,2020-06-11,18,0
11001,3,2020-06-12,16,0
11001,3,2020-06-13,9,0
11001,3,2020-06-14,15,0
11001,3,2020-06-15,20,1
11001,3,2020-06-16,21,1
11001,3,2020-06-17,21,0
11001,3,2020-06-18,54,0
11001,3,2020-06-19,35,2
11001,3,2020-06-20,35,0
11001,3,2020-06-21,25,0
11001,3,2020-06-22,19,1
11001,3,2020-06-23,43,1
11001,3,2020-06-24,37,0
11001,3,2020-06-25,92,2
11001,3,2020-06-26,61,1
11001,3,2020-06-27,48,1
11001,3,2020-06-28,52,1
11001,3,2020-06-29,28,1
11001,3,2020-06-30,51,2
11001,3,2020-07-01,143,0
11001,3,2020-07-02,126,3
11001,3,2020-07-03,52,2
11001,3,2020-07-04,44,0
11001,3,2020-07-05,70,2
11001,3,2020-07-06,66,0
11001,3,2020-07-07,62,2
11001,3,2020-07-08,51,1
11001,3,2020-07-09,46,0
11001,3,2020-07-10,67,2
11001,3,2020-07-11,33,1
11001,3,2020-07-12,51,1
11001,3,2020-07-13,78,1
11001,3,2020-07-14,139,3
11001,3,2020-07-15,69,2
11001,3,2020-07-16,51,2
11001,3,2020-07-17,54,0
11001,3,2020-07-18,87,2
11001,3,2020-07-19,53,1
11001,3,2020-07-20,58,2
11001,3,2020-07-21,57,2
11001,3,2020-07-22,74,2
11001,3,2020-07-23,67,4
11001,3,2020-07-24,57,2
11001,3,2020-07-25,57,2
11001,3,2020-07-26,50,1
11001,3,2020-07-27,61,6
11001,3,2020-07-28,50,2
11001,3,2020-07-29,72,3
11001,3,2020-07-30,62,3
11001,3,2020-07-31,44,3
11001,3,2020-08-01,50,1
11001,3,2020-08-02,27,1
11001,3,2020-08-03,47,0
11001,3,2020-08-04,42,3
11001,3,2020-08-05,51,3
11001,3,2020-08-06,34,0
11001,3,2020-08-07,29,3
11001,3,2020-08-08,53,4
11001,3,2020-08-09,20,3
11001,3,2020-08-10,44,0
11001,3,2020-08-11,33,1
11001,3,2020-08-12,40,3
11001,3,2020-08-13,33,2
11001,3,2020-08-14,35,0
11001,3,2020-08-15,40,0
11001,3,2020-08-16,23,1
11001,3,2020-08-17,25,2
11001,3,2020-08-18,42,1
11001,3,2020-08-19,57,0
11001,3,2020-08-20,40,1
11001,3,2020-08-21,53,0
11001,3,2020-08-22,34,2
11001,3,2020-08-23,25,0
11001,3,2020-08-24,36,2
11001,3,2020-08-25,19,0
11001,3,2020-08-26,52,0
11001,3,2020-08-27,26,1
11001,3,2020-08-28,23,1
11001,3,2020-08-29,20,2
11001,3,2020-08-30,21,1
11001,3,2020-08-31,43,1
11001,3,2020-09-01,21,2
11001,3,2020-09-02,23,1
11001,3,2020-09-03,17,0
11001,3,2020-09-04,29,1
11001,3,2020-09-05,16,1
11001,3,2020-09-06,8,0
11001,3,2020-09-07,60,1
11001,3,2020-09-08,20,1
11001,3,2020-09-09,12,0
11001,3,2020-09-10,4,2
11001,3,2020-09-11,3,1
11001,3,2020-09-12,4,0
11001,3,2020-09-13,3,2
11001,3,2020-09-14,11,0
11001,4,2020-03-10,1,0
11001,4,2020-03-16,1,0
11001,4,2020-03-17,1,0
11001,4,2020-03-18,1,0
11001,4,2020-03-19,1,0
11001,4,2020-03-20,1,0
11001,4,2020-03-21,1,0
11001,4,2020-03-22,2,0
11001,4,2020-03-25,1,0
11001,4,2020-03-26,3,0
11001,4,2020-03-27,1,0
11001,4,2020-03-28,2,0
11001,4,2020-03-31,3,0
11001,4,2020-04-01,6,0
11001,4,2020-04-02,1,0
11001,4,2020-04-04,2,0
11001,4,2020-04-05,4,0
11001,4,2020-04-06,3,0
11001,4,2020-04-07,5,0
11001,4,2020-04-08,6,0
11001,4,2020-04-09,3,0
11001,4,2020-04-10,1,0
11001,4,2020-04-11,4,0
11001,4,2020-04-12,8,0
11001,4,2020-04-13,6,1
11001,4,2020-04-14,4,0
11001,4,2020-04-15,3,0
11001,4,2020-04-16,2,1
11001,4,2020-04-17,3,0
11001,4,2020-04-18,4,0
11001,4,2020-04-19,6,1
11001,4,2020-04-20,4,0
11001,4,2020-04-21,5,0
11001,4,2020-04-22,4,0
11001,4,2020-04-23,2,0
11001,4,2020-04-24,2,0
11001,4,2020-04-25,6,0
11001,4,2020-04-26,13,1
11001,4,2020-04-27,7,0
11001,4,2020-04-28,7,1
11001,4,2020-04-29,4,0
11001,4,2020-04-30,3,1
11001,4,2020-05-01,6,0
11001,4,2020-05-02,4,0
11001,4,2020-05-03,11,0
11001,4,2020-05-04,6,0
11001,4,2020-05-05,6,0
11001,4,2020-05-06,3,0
11001,4,2020-05-07,6,0
11001,4,2020-05-08,7,0
11001,4,2020-05-09,12,0
11001,4,2020-05-10,14,0
11001,4,2020-05-11,10,0
11001,4,2020-05-12,13,0
11001,4,2020-05-13,16,0
11001,4,2020-05-14,16,0
11001,4,2020-05-15,12,0
11001,4,2020-05-16,16,1
11001,4,2020-05-17,15,0
11001,4,2020-05-18,25,2
11001,4,2020-05-19,26,0
11001,4,2020-05-20,25,0
11001,4,2020-05-21,12,1
11001,4,2020-05-22,18,0
11001,4,2020-05-23,19,1
11001,4,2020-05-24,10,0
11001,4,2020-05-25,31,2
11001,4,2020-05-26,16,1
11001,4,2020-05-27,15,0
11001,4,2020-05-28,21,0
11001,4,2020-05-29,16,1
11001,4,2020-05-30,16,0
11001,4,2020-05-31,18,1
11001,4,2020-06-01,34,0
11001,4,2020-06-02,31,0
11001,4,2020-06-03,25,0
11001,4,2020-06-04,18,1
11001,4,2020-06-05,36,1
11001,4,2020-06-06,38,0
11001,4,2020-06-07,16,0
11001,4,2020-06-08,51,0
11001,4,2020-06-09,32,1
11001,4,2020-06-10,50,1
11001,4,2020-06-11,28,0
11001,4,2020-06-12,53,0
11001,4,2020-06-13,51,0
11001,4,2020-06-14,42,0
11001,4,2020-06-15,48,0
11001,4,2020-06-16,110,1
11001,4,2020-06-17,53,0
11001,4,2020-06-18,52,1
11001,4,2020-06-19,65,0
11001,4,2020-06-20,79,0
11001,4,2020-06-21,68,4
11001,4,2020-06-22,68,1
11001,4,2020-06-23,85,1
11001,4,2020-06-24,118,2
11001,4,2020-06-25,99,1
11001,4,2020-06-26,103,3
11001,4,2020-06-27,98,2
11001,4,2020-06-28,87,1
11001,4,2020-06-29,107,1
11001,4,2020-06-30,170,3
11001,4,2020-07-01,158,4
11001,4,2020-07-02,113,4
11001,4,2020-07-03,153,2
11001,4,2020-07-04,188,2
11001,4,2020-07-05,101,1
11001,4,2020-07-06,159,4
11001,4,2020-07-07,132,3
11001,4,2020-07-08,142,3
11001,4,2020-07-09,144,2
11001,4,2020-07-10,213,5
11001,4,2020-07-11,123,3
11001,4,2020-07-12,129,5
11001,4,2020-07-13,197,1
11001,4,2020-07-14,169,7
11001,4,2020-07-15,129,5
11001,4,2020-07-16,142,3
11001,4,2020-07-17,116,4
11001,4,2020-07-18,160,5
11001,4,2020-07-19,133,3
11001,4,2020-07-20,129,2
11001,4,2020-07-21,153,8
11001,4,2020-07-22,201,3
11001,4,2020-07-23,180,4
11001,4,2020-07-24,187,11
11001,4,2020-07-25,160,5
11001,4,2020-07-26,115,4
11001,4,2020-07-27,226,5
11001,4,2020-07-28,147,3
11001,4,2020-07-29,160,9
11001,4,2020-07-30,159,9
11001,4,2020-07-31,148,5
11001,4,2020-08-01,159,2
11001,4,2020-08-02,92,6
11001,4,2020-08-03,156,4
11001,4,2020-08-04,156,6
11001,4,2020-08-05,135,4
11001,4,2020-08-06,114,6
11001,4,2020-08-07,110,6
11001,4,2020-08-08,138,8
11001,4,2020-08-09,110,6
11001,4,2020-08-10,155,3
11001,4,2020-08-11,127,6
11001,4,2020-08-12,120,3
11001,4,2020-08-13,128,4
11001,4,2020-08-14,136,6
11001,4,2020-08-15,146,5
11001,4,2020-08-16,100,5
11001,4,2020-08-17,78,2
11001,4,2020-08-18,117,5
11001,4,2020-08-19,99,3
11001,4,2020-08-20,126,8
11001,4,2020-08-21,102,10
11001,4,2020-08-22,107,5
11001,4,2020-08-23,81,4
11001,4,2020-08-24,114,5
11001,4,2020-08-25,113,7
